3.4. СРЕДНЕГОДОВАЯ ЧИСЛЕННОСТЬ ЗАНЯТЫХ1);;;;;;;;
(тысяч человек);;;;;;;;
;2005;2010;2011;2012;2013;2014;20152);20162)
Российская Федерация;66682,6;67493,4;67643,6;67968,3;67901;67813,3;72424,9;72065,2
Центральный;18354,6;18692,6;18710,3;18814,1;18894,7;19008,3;21178;21181,9
федеральный округ;;;;;;;;
Белгородская область;674,7;693,5;698,1;700,1;700,2;699,1;754;756,8
Брянская область;604,1;571,6;561,2;559,6;547,5;533,6;547,7;540,6
Владимирская область;713,1;703,5;700,3;698,6;697,6;695,7;664,4;647,4
Воронежская область;1055,4;1054,3;1054,9;1057,9;1057;1055,3;1092,5;1094,8
Ивановская область;486;486,9;491;492,1;489,4;487,5;451,5;447,1
Калужская область;478,7;480,2;480,1;489,6;490,2;490,8;508;508,9
Костромская область;324,5;321,5;315;310,5;305,6;299,8;299,4;293,2
Курская область;598,9;573,9;575,7;580;570,3;567,1;520,3;520,6
Липецкая область;548,7;544,9;544,5;543,8;543,4;542,3;565,2;565,5
Московская область;2740,2;2905,9;2921,4;2933,9;2982,7;3040,5;3366,9;3377
Орловская область;407;383,9;390,6;393,3;392,1;386,8;335,9;330,2
Рязанская область;525,4;502,8;502,4;501,9;500,7;494,1;504,8;505,5
Смоленская область;478,8;495,8;495,8;490,8;488,7;482,4;460,8;443,9
Тамбовская область;506,9;503,6;504,1;507;504,1;502,2;499,8;492,1
Тверская область;620,1;588,8;586,8;580,9;578,2;575,5;630,1;608,5
Тульская область;770,9;771,1;770,8;766,3;760,5;749,9;742,6;731,5
Ярославская область;664,2;648,8;638;639,9;634,2;627,4;635,9;626,6
г. Москва;6156,8;6461,9;6479,6;6567,7;6652,3;6778,4;8598;8692
Северо-Западный;6730,5;6760,3;6760,2;6774,2;6768;6750,2;7296,8;7251,1
федеральный округ;;;;;;;;
Республика Карелия;345,8;317,4;310,2;306,7;300,7;296,8;284;283,6
Республика Коми;465,6;463;456,6;456,3;445;433,7;437,7;421,8
Архангельская область;601,5;606,6;605,9;603,8;599,3;594,3;558,4;547,5
в том числе: ;;;;;;;;
Ненецкий автономный округ;27,7;31,8;31,8;32,7;33,3;33,3;33,3;33,2
Архангельская область;573,9;574,8;574,2;571,1;565,9;561;525,1;514,4
без автономного округа;;;;;;;;
Вологодская область;605,7;598,1;589,9;582,3;576,3;571,8;554,1;556,6
Калининградская область;443,8;471,4;471,7;476,7;476,5;477,8;478,2;476,9
Ленинградская область;738,6;745,3;747,6;749,2;750,7;747;842,1;820,2
Мурманская область;433,1;425,4;424,6;423,5;418,8;408,6;383,2;379,8
Новгородская область;313,4;313,5;314,4;313,9;309,7;306,4;298,7;294
Псковская область;336;323,3;328,4;331,4;325,9;320,9;295,6;291,2
г. Санкт-Петербург;2447;2496,3;2510,9;2530,4;2565,3;2593,1;3164,8;3179,4
Южный;6058;6114,2;6130,9;6201,1;6197,8;6161,2;7442,5;7402,8
федеральный округ;;;;;;;;
Республика Адыгея;154;152,4;151,9;152;150,9;150,6;155,1;151,1
Республика Калмыкия;116,7;114,6;113,6;113;112,3;111,9;111,8;112,3
Республика Крым;;;;;;…;852,7;825,4
Краснодарский край;2189,4;2274,2;2288,5;2328,3;2330,8;2322,4;2546,1;2553,2
Астраханская область;445;447,7;448,5;442,5;436,9;436,4;479,8;473,7
Волгоградская область;1254,3;1229,7;1226,1;1252,9;1253,2;1230,3;1176;1147,6
Ростовская область;1898,6;1895,7;1902,2;1912,4;1913,6;1909,6;1948,8;1968,2
г. Севастополь;;;;;;…;172,2;171,3
Северо-Кавказский;2876,5;3314,6;3374,3;3397,2;3423,3;3464,1;3745,8;3778,9
федеральный округ;;;;;;;;
Республика Дагестан;873,4;949;966,6;981,4;995,2;1011,7;1063,4;1066,8
Республика Ингушетия;64,8;68,3;68,7;70,2;72,7;77,4;153,2;162,3
Кабардино-Балкарская Республика;310,6;309,9;308,8;308,1;307;305,8;357;358,9
Карачаево-Черкесская Республика;162,7;170,6;172,8;173,1;171,7;169,1;173,3;171,7
Республика Северная Осетия – Алания;295,8;299,3;299,2;298,5;298,9;296,8;294,7;287,2
Чеченская Республика ;…;281;312,9;327,8;342,4;365,8;488,7;490
Ставропольский край;1169,2;1236,5;1245,3;1238;1235,4;1237,5;1215,5;1242
Приволжский;14453,1;14288,8;14295;14336,4;14217;14114,8;14220,9;14116,2
федеральный округ;;;;;;;;
Республика Башкортостан;1797,6;1770,6;1760,7;1797,1;1770,4;1761,9;1778,8;1757,5
Республика Марий Эл;334,4;318,1;317,5;314,4;308,9;306,2;307,5;300,9
Республика Мордовия;399,1;385;382,6;379,6;375,4;369,5;393,6;387,6
Республика Татарстан;1773,5;1810,5;1819,9;1821,8;1817,7;1812,2;1950,3;1951,2
Удмуртская Республика;764,8;752,2;753,9;755,9;752,2;742,2;741,6;726,5
Чувашская Республика;597,5;573,4;570,4;569,7;567,6;560,7;564,3;545,9
Пермский край;1311;1295,5;1318,9;1298,7;1280,1;1262;1201;1204,4
Кировская область;707,2;654,6;649,9;642;635,1;632,1;596,6;590,8
Нижегородская область ;1728,9;1710,9;1700,6;1703,2;1685,6;1677,7;1653,6;1644,9
Оренбургская область;1000,5;1029,5;1036,9;1070,6;1070;1047,5;930,2;935,6
Пензенская область;685,4;667,3;666,8;665,8;661,9;660,6;632,6;632,6
Самарская область;1579;1509,4;1504,8;1507,3;1502,6;1506,7;1739,1;1714,3
Саратовская область;1169,5;1209;1206,6;1201,5;1189,2;1183,6;1149,4;1136,9
Ульяновская область;604,9;602,6;605,3;608,7;600,2;591,8;582,3;587,1
Уральский;6068,4;6025,3;6056,7;6062,3;6053,4;6037,1;6425,9;6347,1
федеральный округ;;;;;;;;
Курганская область;424,4;389,1;387,4;383,2;377,9;372,1;359,8;348,3
Свердловская область ;2093,7;2049,1;2047,4;2043,2;2033;2024,5;2137,9;2093,9
Тюменская область;1890,6;1928,4;1943,4;1963;1975,4;1979,5;2209,8;2190,8
в том числе:;;;;;;;;
Ханты-Мансийский автономный;877,1;897,6;903,6;912,2;916,1;917,2;1037,4;1025,4
округ – Югра;;;;;;;;
Ямало-Ненецкий автономный округ;359,7;367,8;370,5;374,5;377,8;377,2;393,8;403
Тюменская область;653,8;662,9;669,3;676,3;681,5;685,1;778,6;762,5
без автономных округов;;;;;;;;
Челябинская область;1659,6;1658,7;1678,6;1672,9;1667,1;1661;1718,3;1714
Сибирский;8879,1;8996,3;9009,7;9085,6;9061;9010,1;8934,6;8783,8
федеральный округ;;;;;;;;
Республика Алтай;84,9;93,9;91,7;90,3;89,4;89,2;85,6;85
Республика Бурятия;386,6;417,1;417,4;419,3;417,6;414,4;398;391,2
Республика Тыва;103,9;104,7;105,6;104,6;102,8;101;99;103,2
Республика Хакасия;241,1;239,2;237,1;235,6;232,6;226,6;237,2;233,3
Алтайский край;1105,1;1079,4;1075,6;1078,1;1075;1063,8;1055,9;1017,5
Забайкальский край;476;489,8;489,4;488,7;487;482;475,4;474,5
Красноярский край;1418,8;1432,7;1436,3;1439;1424,8;1422,7;1424,4;1391,3
Иркутская область;1141,7;1140,2;1123,7;1137;1135;1130,7;1158,8;1128
Кемеровская область;1295,2;1288,2;1301;1305,4;1303,2;1278,2;1229,1;1220,4
Новосибирская область ;1221,7;1286,6;1305,1;1348,7;1352,4;1365,6;1363,5;1338,8
Омская область;939,1;944,6;945,5;944,7;945,5;944,5;932,7;913
Томская область;465,1;479,7;481,3;494,2;495,7;491,6;475,2;487,8
Дальневосточный;3262,5;3301,3;3306,5;3297,3;3285,8;3267,5;3180,4;3203,4
федеральный округ;;;;;;;;
Республика Саха (Якутия);471,8;483,7;483,2;482,9;482,1;482,1;482,7;483,4
Камчатский край;179,5;179,5;181,9;185,5;185,9;181,9;170,1;166,2
Приморский край;980,2;980,1;983,5;982,6;978,5;973,9;965,3;986,2
Хабаровский край ;717,4;725,4;729,1;728,9;730,2;724,3;683;693,9
Амурская область;424,2;437,9;438,3;430,1;425,5;424,9;393,2;395,5
Магаданская область;93,8;89,9;89,6;88,3;86,9;86,8;94,9;92,2
Сахалинская область;277,7;288,2;287,9;287,4;287,5;287;287,7;284,4
Еврейская автономная область;79,3;80,8;78,6;78,5;77,1;75,4;70,3;69,7
Чукотский автономный округ;38,5;35,9;34,2;33;32,1;31,1;33,1;31,9
